image_name,run_length,value,huffman_code,code_length
0000.jpg,7,7,0101001101,10
0000.jpg,13,-1,0000011000,10
0000.jpg,13,1,0000111101,10
0000.jpg,14,-1,1111110001,10
0000.jpg,14,1,1110101111,10
0000.jpg,0,-17,00111000001,11
0000.jpg,0,-15,01111110110,11
0000.jpg,0,-14,11111010101,11
0000.jpg,0,66,11101010100,11
0000.jpg,0,67,10110110111,11
0000.jpg,0,68,10110011100,11
0000.jpg,0,69,11111000001,11
0000.jpg,0,70,11111010100,11
0000.jpg,0,71,11111001011,11
0000.jpg,0,72,11111000010,11
0000.jpg,0,73,11111001000,11
0000.jpg,0,74,10110100010,11
0000.jpg,0,75,01111110111,11
0000.jpg,0,76,00111010110,11
0000.jpg,0,77,01010110001,11
0000.jpg,0,78,00111010111,11
0000.jpg,0,88,10101111011,11
0000.jpg,0,89,00011111001,11
0000.jpg,0,124,00001100101,11
0000.jpg,0,125,00001111001,11
0000.jpg,0,126,01000100101,11
0000.jpg,1,-4,10110010011,11
0000.jpg,1,4,00011000011,11
0000.jpg,2,-4,00111001111,11
0000.jpg,2,-3,11100111101,11
0000.jpg,2,2,11111101001,11
0000.jpg,2,3,10101111111,11
0000.jpg,2,4,01011011100,11
0000.jpg,3,-6,00011111000,11
0000.jpg,3,-5,11100001001,11
0000.jpg,3,5,11101011100,11
0000.jpg,3,6,01111110101,11
0000.jpg,3,7,01010110000,11
0000.jpg,3,8,00001111000,11
0000.jpg,4,-6,01010110011,11
0000.jpg,4,-5,11111000000,11
0000.jpg,4,6,10101111010,11
0000.jpg,4,7,01000100100,11
0000.jpg,5,-6,01011011101,11
0000.jpg,5,6,11100111011,11
0000.jpg,5,7,10101000001,11
0000.jpg,6,-7,00000001001,11
0000.jpg,6,-6,01111010010,11
0000.jpg,6,-5,11111000011,11
0000.jpg,6,6,11100001010,11
0000.jpg,6,7,01011011110,11
0000.jpg,7,-6,11111100001,11
0000.jpg,7,8,01011011111,11
0000.jpg,7,9,01000101000,11
0000.jpg,9,1,00011010100,11
0000.jpg,12,-1,01111010110,11
0000.jpg,12,1,00000001000,11
0000.jpg,0,-21,010100110000,12
0000.jpg,0,-20,000110101011,12
0000.jpg,0,-19,011110100111,12
0000.jpg,0,-18,111000010111,12
0000.jpg,0,-16,101101000111,12
0000.jpg,0,79,011110101111,12
0000.jpg,0,80,101100111011,12
0000.jpg,0,81,101011111101,12
0000.jpg,0,82,011110111000,12
0000.jpg,0,83,001101000101,12
0000.jpg,0,84,101011111010,12
0000.jpg,0,85,000011001000,12
0000.jpg,0,86,111000010001,12
0000.jpg,0,87,111000010110,12
0000.jpg,0,90,101011111001,12
0000.jpg,0,92,001110110010,12
0000.jpg,0,93,011111101000,12
0000.jpg,0,96,101100111010,12
0000.jpg,0,98,101010000101,12
0000.jpg,0,99,101011111011,12
0000.jpg,0,100,101101000110,12
0000.jpg,0,101,001110110001,12
0000.jpg,0,102,001110110011,12
0000.jpg,0,123,001101000100,12
0000.jpg,1,-5,001110000000,12
0000.jpg,1,5,111010101010,12
0000.jpg,2,-7,101010000001,12
0000.jpg,2,-6,001110110100,12
0000.jpg,2,-5,001101000110,12
0000.jpg,2,5,101100110000,12
0000.jpg,2,6,001110110000,12
0000.jpg,3,-11,010001010011,12
0000.jpg,3,-9,101010000100,12
0000.jpg,3,-8,001101000111,12
0000.jpg,3,-7,011110101110,12
0000.jpg,3,9,101011111000,12
0000.jpg,3,10,011110111111,12
0000.jpg,4,-10,000000010101,12
0000.jpg,4,-9,000110101010,12
0000.jpg,4,-7,101011111100,12
0000.jpg,4,8,111001111001,12
0000.jpg,4,10,010001010010,12
0000.jpg,4,11,000000010111,12
0000.jpg,5,-9,010100110001,12
0000.jpg,5,-8,111000010000,12
0000.jpg,5,-7,111110010010,12
0000.jpg,5,8,010100110010,12
0000.jpg,5,9,000110101100,12
0000.jpg,5,10,000110000101,12
0000.jpg,6,-9,010101110000,12
0000.jpg,6,-8,001110000001,12
0000.jpg,6,8,101010000110,12
0000.jpg,6,9,010101100101,12
0000.jpg,6,10,011110111001,12
0000.jpg,7,-16,101010000000,12
0000.jpg,7,-15,011110111100,12
0000.jpg,7,-14,000110101111,12
0000.jpg,7,-13,000110101101,12
0000.jpg,7,-11,000011001001,12
0000.jpg,7,-10,010100110011,12
0000.jpg,7,-8,011111101001,12
0000.jpg,7,-7,111001110101,12
0000.jpg,7,10,011110111011,12
0000.jpg,7,11,101100100100,12
0000.jpg,7,12,011110100110,12
0000.jpg,7,13,000110101110,12
0000.jpg,8,2,000000010110,12
0000.jpg,9,-1,111010111010,12
0000.jpg,16,-1,101100100101,12
0000.jpg,16,1,001110011101,12
0000.jpg,23,-1,111001110100,12
0000.jpg,23,1,011110111010,12
0000.jpg,0,-26,1011001100100,13
0000.jpg,0,-25,1111100100111,13
0000.jpg,0,-24,1010100001110,13
0000.jpg,0,-23,0111101111100,13
0000.jpg,0,-22,1111100101000,13
0000.jpg,0,91,1011010011000,13
0000.jpg,0,94,1111100100110,13
0000.jpg,0,95,0111101111101,13
0000.jpg,0,97,1111110000011,13
0000.jpg,0,109,0101011100101,13
0000.jpg,0,116,0101011100011,13
0000.jpg,0,117,0011101101010,13
0000.jpg,0,118,1011001100101,13
0000.jpg,0,120,0101011100010,13
0000.jpg,0,121,0001101100000,13
0000.jpg,1,-7,1011001100010,13
0000.jpg,1,-6,1011010011001,13
0000.jpg,1,6,1110101110111,13
0000.jpg,1,7,1010100010001,13
0000.jpg,2,-11,0111101111010,13
0000.jpg,2,-9,1110011110001,13
0000.jpg,2,-8,1010100010011,13
0000.jpg,2,7,1010100010000,13
0000.jpg,2,8,0101011001001,13
0000.jpg,2,9,1110101010111,13
0000.jpg,2,10,0001101100010,13
0000.jpg,2,11,0011100111001,13
0000.jpg,2,13,1011001100011,13
0000.jpg,3,-13,0101011100110,13
0000.jpg,3,-10,1010100010010,13
0000.jpg,3,11,1110101010110,13
0000.jpg,3,12,0001100001001,13
